aer_ai_mean,aer_ai_valid_frac,co_mean,co_valid_frac,no2_mean,no2_valid_frac,period_start,city,precip_mm,no2_log,co_log,doy_sin,doy_cos,low_confidence,split
-0.6265122188093348,1,0.0458276545354486,1.0,2.147404916642639e-05,0.9896193771626296,2020-05-05,Lagos,44.96991891254378,-10.748665367375628,-3.082867559264747,0.8271893372462497,-0.5619233046832195,False,train
-1.1196358097584758,1,0.0431529435563082,0.8477508650519031,2.4818991146626973e-05,0.9930795847750864,2020-05-12,Lagos,13.632170869334235,-10.603901425805738,-3.143004646947191,0.753697664392914,-0.6572212950663319,False,train
-1.0130396557655916,1,0.044213514919811,0.9930795847750864,1.869013083568037e-05,0.9896193771626296,2020-05-19,Lagos,54.447329571447334,-10.887514936217379,-3.1187247692192757,0.6692903895412567,-0.7430009249440493,False,train
-1.343764664556355,1,0.0433558070189852,0.9584775086505192,2.236213418968877e-05,0.9896193771626296,2020-05-26,Lagos,57.89325427824372,-10.708141467466083,-3.1383146281183163,0.5751899607119775,-0.8180198708443175,False,train
-1.0523846387935198,1,0.04190261795149,0.9584775086505192,2.8875471175698952e-05,0.9688581314878892,2020-06-02,Lagos,17.522429144601958,-10.452518071482325,-3.1724069730634157,0.47275920928627757,-0.881191653407483,False,train
-1.0517575032042508,1,0.0400820377210961,0.9619377162629758,2.4840062514563543e-05,0.9792387543252596,2020-06-09,Lagos,69.43073257003074,-10.60305278421281,-3.216826982153192,0.36348161248290634,-0.9316013725767187,False,train
-0.920947437829832,1,0.0392661390097867,0.9619377162629758,1.938444680279045e-05,0.7820069204152249,2020-06-16,Lagos,79.67299953409271,-10.851039524633649,-3.237392734304372,0.24893980855376657,-0.9685189578512204,False,train
-1.096961641152127,1,0.0440225127111778,1.0,2.624552078369047e-05,0.9550173010380624,2020-06-23,Lagos,76.90957479811881,-10.54801522029855,-3.123054123386631,0.13079267585675922,-0.9914097417023038,False,train
-1.1445730640563732,1,0.0436080538757253,0.9273356401384084,2.186674015138004e-05,0.6851211072664359,2020-06-30,Lagos,125.35417499243464,-10.730543790106584,-3.1325134237658365,0.01075130776352193,-0.9999422030204416,False,train
-0.9171429543404128,1,0.0468453334288616,0.8754325259515571,1.8079394348988716e-05,0.4186851211072664,2020-07-07,Lagos,90.38016723917389,-10.92073770195797,-3.0609038818999377,-0.10944576864891556,-0.993992768446958,True,train
-1.2352061265428085,1,0.0460339348329668,1.0,1.7755239537193217e-05,0.8442906574394463,2020-07-14,Lagos,25.823373163697585,-10.938829900407443,-3.0783764407099374,-0.2280577712215198,-0.9736476020539838,False,train
-1.2117550793406375,1,0.0399632200281001,0.9965397923875432,1.669648020717286e-05,0.8927335640138409,2020-07-21,Lagos,21.87298108660582,-11.0003126267934,-3.219795747164495,-0.34336687399638804,-0.939201357453208,False,train
-1.0219272355707265,1,0.0437536729631333,0.9930795847750864,1.5831143481473737e-05,0.7681660899653979,2020-07-28,Lagos,10.683172961636524,-11.053531451590242,-3.12917971625936,-0.45370308603134424,-0.8911529104063088,False,train
-0.8458962745066994,1,0.0506936766181749,1.0,2.0129458100318607e-05,1.0,2020-08-04,Lagos,5.372159385899912,-10.813326238678966,-2.981954097698389,-0.5574684374327892,-0.8301981337405212,False,train
-0.8761423795773468,1,0.0486961387236833,1.0,2.5150597528572423e-05,1.0,2020-08-11,Lagos,6.790833825193251,-10.590628903109408,-3.022155539024995,-0.65316012232693,-0.7572198192083127,False,train
-1.091867197638022,1,0.046011612862988,1.0,2.045989286587648e-05,0.986159169550173,2020-08-18,Lagos,12.80057016764147,-10.797044033726424,-3.078861460810858,-0.7393922635959241,-0.673274892250183,False,train
-1.116460363911446,1,0.0461451902244844,0.9688581314878892,1.7376330217330643e-05,0.740484429065744,2020-08-25,Lagos,20.430387876339317,-10.9604016101731,-3.075962543952487,-0.8149159841660791,-0.5795791048257612,False,train
-1.3666541215293693,1,0.0405662120894622,0.9965397923875432,1.427448350259722e-05,0.5709342560553633,2020-09-01,Lagos,34.41766826854169,-11.157036985031443,-3.204819773402486,-0.8786374941610001,-0.4774894280028391,False,train
-1.050900079850684,1,0.0415567565533818,1.0,1.9272343049535445e-05,0.6228373702422145,2020-09-08,Lagos,49.003571344899626,-10.856839492398368,-3.1806951583042418,-0.9296339319682695,-0.3684843993077793,False,train
-1.2302872889592804,1,0.0435884417464059,1.0,1.7759574712083157e-05,0.657439446366782,2020-09-15,Lagos,60.06938958434944,-10.938585767078683,-3.1329632613312155,-0.9671667297977312,-0.2541427094613622,False,train
-1.2124011778710018,1,0.0402553299668246,0.8996539792387543,2.047779692140709e-05,0.6055363321799307,2020-09-22,Lagos,40.060272340549865,-10.79616933577619,-3.2125128623485075,-0.9906923101615609,-0.13612033862266704,False,train
-1.432565347217414,1,0.0383279982701781,1.0,2.0892026013412147e-05,0.916955017301038,2020-09-29,Lagos,36.56715879395267,-10.776143002253521,-3.261574624533385,-0.9998699583618592,-0.016126573270657762,False,train
-1.626376389737249,1,0.0338241913226172,1.0,2.385091231908459e-05,0.9100346020761244,2020-10-06,Lagos,62.46993459278399,-10.643688088989007,-3.386579012894236,-0.9945667569706337,0.1041007489354256,False,train
-1.347029839017621,1,0.0362433435626754,0.9238754325259516,2.4701356601165473e-05,0.9619377162629758,2020-10-13,Lagos,44.19361972928375,-10.608652392714454,-3.3174995403999756,-0.9748595108374125,0.22282040779479959,False,train
-1.402965463543676,1,0.0382353475202182,1.0,1.847495491449543e-05,0.972318339100346,2020-10-20,Lagos,25.665775743203945,-10.89909453148506,-3.263994863467016,-0.9410336347451197,0.3383130181923075,False,train
-1.4197260787577088,1,0.042702243338962,1.0,2.9767405758141904e-05,1.0,2020-10-27,Lagos,8.651452258680745,-10.42209652955733,-3.1535038229153645,-0.8935790198239952,0.4489059314938798,False,train
